date	European Union	Australia	New Zealand
19990201	1.1203	0.6399	0.5435
19990301	1.0886	0.6308	0.5323
19990401	1.0701	0.6420	0.5427
19990501	1.0630	0.6628	0.5530
19990601	1.0377	0.6563	0.5325
19990701	1.0370	0.6562	0.5261
19990801	1.0605	0.6446	0.5259
19990901	1.0497	0.6495	0.5230
19991001	1.0706	0.6509	0.5142
19991101	1.0328	0.6388	0.5122
19991201	1.0110	0.6410	0.5087
20000101	1.0131	0.6560	0.5127
20000201	0.9834	0.6278	0.4903
20000301	0.9643	0.6094	0.4902
20000401	0.9449	0.5960	0.4960
20000501	0.9059	0.5784	0.4708
20000601	0.9505	0.5949	0.4705
20000701	0.9386	0.5870	0.4597
20000801	0.9045	0.5808	0.4452
20000901	0.8695	0.5521	0.4171
20001001	0.8525	0.5280	0.4001
20001101	0.8552	0.5218	0.3990
20001201	0.8983	0.5466	0.4297
20010101	0.9376	0.5552	0.4442
20010201	0.9205	0.5338	0.4345
20010301	0.9083	0.5031	0.4182
20010401	0.8925	0.5016	0.4069
20010501	0.8753	0.5199	0.4218
20010601	0.8530	0.5180	0.4141
20010701	0.8615	0.5089	0.4081
20010801	0.9014	0.5246	0.4314
20010901	0.9114	0.5036	0.4173
20011001	0.9050	0.5042	0.4139
20011101	0.8883	0.5165	0.4158
20011201	0.8912	0.5138	0.4157
20020101	0.8832	0.5170	0.4245
20020201	0.8707	0.5128	0.4187
20020301	0.8766	0.5256	0.4333
20020401	0.8860	0.5352	0.4428
20020501	0.9170	0.5498	0.4610
20020601	0.9561	0.5682	0.4886
20020701	0.9935	0.5538	0.4809
20020801	0.9781	0.5413	0.4635
20020901	0.9806	0.5465	0.4702
20021001	0.9812	0.5502	0.4818
20021101	1.0013	0.5613	0.4973
20021201	1.0194	0.5624	0.5108
20030101	1.0622	0.5829	0.5398
20030201	1.0785	0.5956	0.5539
20030301	1.0797	0.6015	0.5537
20030401	1.0862	0.6100	0.5518
20030501	1.1556	0.6468	0.5756
20030601	1.1674	0.6652	0.5815
20030701	1.1365	0.6607	0.5864
20030801	1.1155	0.6518	0.5829
20030901	1.1267	0.6635	0.5843
20031001	1.1714	0.6948	0.6020
20031101	1.1710	0.7158	0.6285
20031201	1.2298	0.7391	0.6471
20040101	1.2638	0.7717	0.6738
20040201	1.2640	0.7770	0.6916
20040301	1.2261	0.7496	0.6607
20040401	1.1989	0.7443	0.6415
20040501	1.2000	0.7039	0.6151
20040601	1.2146	0.6937	0.6284
20040701	1.2266	0.7161	0.6467
20040801	1.2191	0.7111	0.6561
20040901	1.2224	0.7028	0.6594
20041001	1.2507	0.7337	0.6846
20041101	1.2997	0.7704	0.7009
20041201	1.3406	0.7675	0.7149
20050101	1.3123	0.7668	0.7065
20050201	1.3013	0.7812	0.7155
20050301	1.3185	0.7848	0.7300
20050401	1.2943	0.7738	0.7209
20050501	1.2697	0.7663	0.7191
20050601	1.2155	0.7667	0.7083
20050701	1.2041	0.7524	0.6789
20050801	1.2295	0.7614	0.6956
20050901	1.2234	0.7651	0.6987
20051001	1.2022	0.7535	0.6983
20051101	1.1789	0.7353	0.6897
20051201	1.1861	0.7423	0.6947
20060101	1.2126	0.7505	0.6872
20060201	1.1940	0.7418	0.6735
20060301	1.2028	0.7266	0.6342
20060401	1.2273	0.7369	0.6220
20060501	1.2767	0.7639	0.6311
20060601	1.2661	0.7399	0.6190
20060701	1.2681	0.7528	0.6178
20060801	1.2810	0.7631	0.6348
20060901	1.2722	0.7549	0.6551
20061001	1.2617	0.7544	0.6621
20061101	1.2888	0.7728	0.6693
20061201	1.3205	0.7858	0.6933
20070101	1.2993	0.7826	0.6947
20070201	1.3080	0.7830	0.6934
20070301	1.3246	0.7932	0.6995
20070401	1.3513	0.8273	0.7345
20070501	1.3518	0.8254	0.7334
20070601	1.3421	0.8423	0.7570
20070701	1.3726	0.8677	0.7862
20070801	1.3626	0.8291	0.7259
20070901	1.3910	0.8461	0.7188
20071001	1.4233	0.8996	0.7603
20071101	1.4683	0.8961	0.7631
20071201	1.4559	0.8719	0.7690
20080101	1.4728	0.8823	0.7740
20080201	1.4759	0.9133	0.7969
20080301	1.5520	0.9221	0.8004
20080401	1.5754	0.9309	0.7897
20080501	1.5554	0.9492	0.7777
20080601	1.5562	0.9511	0.7616
20080701	1.5759	0.9620	0.7546
20080801	1.4955	0.8815	0.7091
20080901	1.4342	0.8168	0.6739
20081001	1.3266	0.6870	0.6077
20081101	1.2744	0.6591	0.5664
20081201	1.3511	0.6719	0.5597
20090101	1.3244	0.6754	0.5510
20090201	1.2797	0.6504	0.5160
20090301	1.3050	0.6666	0.5336
20090401	1.3199	0.7158	0.5729
20090501	1.3646	0.7648	0.6014
20090601	1.4014	0.8025	0.6386
20090701	1.4092	0.8049	0.6444
20090801	1.4266	0.8353	0.6766
20090901	1.4575	0.8622	0.7046
20091001	1.4821	0.9067	0.7386
20091101	1.4908	0.9197	0.7301
20091201	1.4579	0.9021	0.7169
20100101	1.4266	0.9127	0.7263
20100201	1.3680	0.8857	0.6973
20100301	1.3570	0.9123	0.7036
20100401	1.3417	0.9262	0.7122
20100501	1.2563	0.8713	0.6984
20100601	1.2223	0.8539	0.6926
20100701	1.2811	0.8786	0.7145
20100801	1.2903	0.9004	0.7150
20100901	1.3103	0.9398	0.7288
20101001	1.3901	0.9818	0.7520
20101101	1.3654	0.9889	0.7723
20101201	1.3221	0.9929	0.7511
20110101	1.3371	0.9962	0.7656
20110201	1.3656	1.0084	0.7620
20110301	1.4020	1.0113	0.7423
20110401	1.4460	1.0588	0.7894
20110501	1.4335	1.0675	0.7959
20110601	1.4403	1.0617	0.8157
20110701	1.4275	1.0781	0.8480
20110801	1.4333	1.0502	0.8379
20110901	1.3747	1.0220	0.8119
20111001	1.3732	1.0168	0.7912
20111101	1.3558	1.0112	0.7714
20111201	1.3155	1.0122	0.7699
20120101	1.2910	1.0415	0.8015
20120201	1.3238	1.0732	0.8349
20120301	1.3208	1.0526	0.8201
20120401	1.3160	1.0350	0.8180
20120501	1.2806	0.9980	0.7748
20120601	1.2541	0.9986	0.7806
20120701	1.2278	1.0300	0.7986
20120801	1.2406	1.0475	0.8104
20120901	1.2885	1.0406	0.8199
20121001	1.2974	1.0298	0.8197
20121101	1.2837	1.0405	0.8195
20121201	1.3119	1.0465	0.8312
20130101	1.3304	1.0500	0.8370
20130201	1.3347	1.0310	0.8385
20130301	1.2953	1.0345	0.8284
20130401	1.3025	1.0380	0.8479
20130501	1.2983	0.9919	0.8249
20130601	1.3197	0.9440	0.7904
20130701	1.3088	0.9155	0.7885
20130801	1.3314	0.9037	0.7916
20130901	1.3364	0.9303	0.8163
20131001	1.3646	0.9519	0.8345
20131101	1.3491	0.9324	0.8259
20131201	1.3708	0.8980	0.8224
20140101	1.3618	0.8858	0.8275
20140201	1.3665	0.8974	0.8297
20140301	1.3828	0.9089	0.8539
20140401	1.3792	0.9313	0.8631
